trip_id,trip_date,user_id,start_station,end_station,start_hour,duration_min,rider_type
T0001,2024-04-01,U01,S03,S04,4,6,casual
T0002,2024-04-01,U03,S05,S06,10,8,casual
T0003,2024-04-01,U04,S06,S01,13,9,member
T0004,2024-04-01,U06,S02,S03,19,11,member
T0005,2024-04-01,U07,S03,S04,22,12,casual
T0006,2024-04-01,U09,S05,S06,4,14,casual
T0007,2024-04-01,U10,S06,S01,7,15,member
T0008,2024-04-01,U12,S02,S03,13,17,member
T0009,2024-04-01,U13,S03,S04,16,18,casual
T0010,2024-04-01,U15,S05,S06,22,20,casual
T0011,2024-04-02,U02,S05,S01,8,9,member
T0012,2024-04-02,U03,S06,S02,11,11,casual
T0013,2024-04-02,U05,S02,S04,17,15,casual
T0014,2024-04-02,U06,S03,S05,20,17,member
T0015,2024-04-02,U08,S05,S01,2,21,member
T0016,2024-04-02,U09,S06,S02,5,23,casual
T0017,2024-04-02,U11,S02,S04,11,27,casual
T0018,2024-04-02,U12,S03,S05,14,29,member
T0019,2024-04-02,U14,S05,S01,20,33,member
T0020,2024-04-02,U15,S06,S02,23,35,casual
T0021,2024-04-03,U01,S05,S02,6,8,casual
T0022,2024-04-03,U02,S06,S03,9,11,member
T0023,2024-04-03,U04,S02,S05,15,17,member
T0024,2024-04-03,U05,S03,S06,18,20,casual
T0025,2024-04-03,U07,S05,S02,0,26,casual
T0026,2024-04-03,U08,S06,S03,3,29,member
T0027,2024-04-03,U10,S02,S05,9,35,member
T0028,2024-04-03,U11,S03,S06,12,38,casual
T0029,2024-04-03,U13,S05,S02,18,44,casual
T0030,2024-04-03,U14,S06,S03,21,7,member
T0031,2024-04-04,U01,S06,S04,7,9,casual
T0032,2024-04-04,U03,S02,S06,13,17,casual
T0033,2024-04-04,U04,S03,S01,16,21,member
T0034,2024-04-04,U06,S05,S03,22,29,member
T0035,2024-04-04,U07,S06,S04,1,33,casual
T0036,2024-04-04,U09,S02,S06,7,41,casual
T0037,2024-04-04,U10,S03,S01,10,5,member
T0038,2024-04-04,U12,S05,S03,16,13,member
T0039,2024-04-04,U13,S06,S04,19,17,casual
T0040,2024-04-04,U15,S02,S06,1,25,casual
T0041,2024-04-05,U02,S02,S01,11,15,member
T0042,2024-04-05,U03,S03,S02,14,20,casual
T0043,2024-04-05,U05,S05,S04,20,30,casual
T0044,2024-04-05,U06,S06,S05,23,35,member
T0045,2024-04-05,U08,S02,S01,5,5,member
T0046,2024-04-05,U09,S03,S02,8,10,casual
T0047,2024-04-05,U11,S05,S04,14,20,casual
T0048,2024-04-05,U12,S06,S05,17,25,member
T0049,2024-04-05,U14,S02,S01,23,35,member
T0050,2024-04-05,U15,S03,S02,2,40,casual
T0051,2024-04-06,U01,S02,S02,9,11,casual
T0052,2024-04-06,U02,S03,S03,12,17,member
T0053,2024-04-06,U04,S05,S05,18,29,member
T0054,2024-04-06,U05,S06,S06,21,35,casual
T0055,2024-04-06,U07,S02,S02,3,7,casual
T0056,2024-04-06,U08,S03,S03,6,13,member
T0057,2024-04-06,U10,S05,S05,12,25,member
T0058,2024-04-06,U11,S06,S06,15,31,casual
T0059,2024-04-06,U13,S02,S02,21,43,casual
T0060,2024-04-06,U14,S03,S03,0,9,member
T0061,2024-04-07,U01,S03,S04,10,12,casual
T0062,2024-04-07,U03,S05,S06,16,26,casual
T0063,2024-04-07,U04,S06,S01,19,33,member
T0064,2024-04-07,U06,S02,S03,1,7,member
T0065,2024-04-07,U07,S03,S04,4,14,casual
T0066,2024-04-07,U09,S05,S06,10,28,casual
T0067,2024-04-07,U10,S06,S01,13,35,member
T0068,2024-04-07,U12,S02,S03,19,9,member
T0069,2024-04-07,U13,S03,S04,22,16,casual
T0070,2024-04-07,U15,S05,S06,4,30,casual
T0071,2024-04-08,U02,S05,S01,14,21,member
T0072,2024-04-08,U03,S06,S02,17,29,casual
T0073,2024-04-08,U05,S02,S04,23,5,casual
T0074,2024-04-08,U06,S03,S05,2,13,member
T0075,2024-04-08,U08,S05,S01,8,29,member
T0076,2024-04-08,U09,S06,S02,11,37,casual
T0077,2024-04-08,U11,S02,S04,17,13,casual
T0078,2024-04-08,U12,S03,S05,20,21,member
T0079,2024-04-08,U14,S05,S01,2,37,member
T0080,2024-04-08,U15,S06,S02,5,5,casual
T0081,2024-04-09,U01,S05,S02,12,14,casual
T0082,2024-04-09,U02,S06,S03,15,23,member
T0083,2024-04-09,U04,S02,S05,21,41,member
T0084,2024-04-09,U05,S03,S06,0,10,casual
T0085,2024-04-09,U07,S05,S02,6,28,casual
T0086,2024-04-09,U08,S06,S03,9,37,member
T0087,2024-04-09,U10,S02,S05,15,15,member
T0088,2024-04-09,U11,S03,S06,18,24,casual
T0089,2024-04-09,U13,S05,S02,0,42,casual
T0090,2024-04-09,U14,S06,S03,3,11,member
T0091,2024-04-10,U01,S06,S04,13,15,casual
T0092,2024-04-10,U03,S02,S06,19,35,casual
T0093,2024-04-10,U04,S03,S01,22,5,member
T0094,2024-04-10,U06,S05,S03,4,25,member
T0095,2024-04-10,U07,S06,S04,7,35,casual
T0096,2024-04-10,U09,S02,S06,13,15,casual
T0097,2024-04-10,U10,S03,S01,16,25,member
T0098,2024-04-10,U12,S05,S03,22,5,member
T0099,2024-04-10,U13,S06,S04,1,15,casual
T0100,2024-04-10,U15,S02,S06,7,35,casual
T0101,2024-04-11,U02,S02,S01,17,27,member
T0102,2024-04-11,U03,S03,S02,20,38,casual
T0103,2024-04-11,U05,S05,S04,2,20,casual
T0104,2024-04-11,U06,S06,S05,5,31,member
T0105,2024-04-11,U08,S02,S01,11,13,member
