batch_id,batch_date,machine_id,units_produced,runtime_hours,energy_kwh
B001,2024-05-01,M03,87,7,161
B002,2024-05-02,M05,94,10,172
B003,2024-05-03,M02,101,4,183
B004,2024-05-04,M04,108,7,194
B005,2024-05-05,M01,115,10,205
B006,2024-05-06,M03,81,4,216
B007,2024-05-07,M05,88,7,227
B008,2024-05-08,M02,95,10,238
B009,2024-05-09,M04,102,4,159
B010,2024-05-10,M01,109,7,170
B011,2024-05-11,M03,116,10,181
B012,2024-05-12,M05,82,4,192
B013,2024-05-13,M02,89,7,203
B014,2024-05-14,M04,96,10,214
B015,2024-05-15,M01,103,4,225
B016,2024-05-16,M03,110,7,236
B017,2024-05-17,M05,117,10,157
B018,2024-05-18,M02,83,4,168
B019,2024-05-19,M04,90,7,179
B020,2024-05-20,M01,97,10,190
B021,2024-05-21,M03,104,4,201
B022,2024-05-22,M05,111,7,212
B023,2024-05-23,M02,118,10,223
B024,2024-05-24,M04,84,4,234
B025,2024-05-25,M01,91,7,155
B026,2024-05-26,M03,98,10,166
B027,2024-05-27,M05,105,4,177
B028,2024-05-28,M02,112,7,188
B029,2024-05-29,M04,119,10,199
B030,2024-05-30,M01,85,4,210
B031,2024-05-31,M03,92,7,221
B032,2024-06-01,M05,99,10,232
B033,2024-06-02,M02,106,4,153
B034,2024-06-03,M04,113,7,164
B035,2024-06-04,M01,120,10,175
B036,2024-06-05,M03,86,4,186
B037,2024-06-06,M05,93,7,197
B038,2024-06-07,M02,100,10,208
B039,2024-06-08,M04,107,4,219
B040,2024-06-09,M01,114,7,230
