flight_id,flight_date,origin,dest,carrier,sched_dep_hour,dep_delay_min,arr_delay_min,distance_miles,cancelled
FL0001,2024-07-01,BBB,DDD,QF,9,-5.0,-1.0,420,0
FL0002,2024-07-01,CCC,AAA,MN,12,0.0,3.0,450,0
FL0003,2024-07-01,DDD,CCC,ZX,15,5.0,7.0,410,0
FL0004,2024-07-01,EEE,AAA,QF,18,10.0,11.0,530,0
FL0005,2024-07-01,AAA,BBB,MN,21,15.0,15.0,350,0
FL0006,2024-07-02,CCC,EEE,MN,10,-2.0,1.0,450,0
FL0007,2024-07-02,DDD,BBB,ZX,13,3.0,5.0,480,0
FL0008,2024-07-02,EEE,DDD,QF,16,8.0,9.0,320,0
FL0009,2024-07-02,AAA,BBB,MN,19,13.0,13.0,350,0
FL0010,2024-07-02,BBB,CCC,ZX,22,18.0,17.0,380,0
FL0011,2024-07-03,DDD,AAA,ZX,11,1.0,3.0,550,0
FL0012,2024-07-03,EEE,CCC,QF,14,6.0,7.0,390,0
FL0013,2024-07-03,AAA,EEE,MN,17,11.0,11.0,560,0
FL0014,2024-07-03,BBB,CCC,ZX,20,16.0,15.0,380,0
FL0015,2024-07-03,CCC,DDD,QF,23,21.0,19.0,410,0
FL0016,2024-07-04,EEE,BBB,QF,12,4.0,5.0,460,0
FL0017,2024-07-04,AAA,DDD,MN,15,9.0,9.0,490,0
FL0018,2024-07-04,BBB,AAA,ZX,18,14.0,13.0,380,0
FL0019,2024-07-04,CCC,DDD,QF,21,19.0,17.0,410,0
FL0020,2024-07-04,DDD,EEE,MN,0,24.0,21.0,320,0
FL0021,2024-07-05,AAA,CCC,MN,13,7.0,7.0,420,0
FL0022,2024-07-05,BBB,EEE,ZX,16,12.0,11.0,520,0
FL0023,2024-07-05,CCC,BBB,QF,19,17.0,15.0,410,0
FL0024,2024-07-05,DDD,EEE,MN,22,22.0,19.0,320,0
FL0025,2024-07-05,EEE,AAA,ZX,1,27.0,23.0,560,0
FL0026,2024-07-06,BBB,DDD,ZX,14,10.0,9.0,450,0
FL0027,2024-07-06,CCC,AAA,QF,17,15.0,13.0,480,0
FL0028,2024-07-06,DDD,CCC,MN,20,20.0,17.0,320,0
FL0029,2024-07-06,EEE,AAA,ZX,23,25.0,21.0,560,0
FL0030,2024-07-06,AAA,BBB,QF,2,30.0,25.0,380,0
FL0031,2024-07-07,CCC,EEE,QF,15,13.0,11.0,480,0
FL0032,2024-07-07,DDD,BBB,MN,18,18.0,15.0,390,0
FL0033,2024-07-07,EEE,DDD,ZX,21,23.0,19.0,350,0
FL0034,2024-07-07,AAA,BBB,QF,0,28.0,23.0,380,0
FL0035,2024-07-07,BBB,CCC,MN,3,-8.0,-14.0,410,0
FL0036,2024-07-08,DDD,AAA,MN,16,16.0,13.0,460,0
FL0037,2024-07-08,EEE,CCC,ZX,19,21.0,17.0,420,0
FL0038,2024-07-08,AAA,EEE,QF,22,26.0,21.0,590,0
FL0039,2024-07-08,BBB,CCC,MN,1,-10.0,-16.0,410,0
FL0040,2024-07-08,CCC,DDD,ZX,4,-5.0,-12.0,320,0
FL0041,2024-07-09,EEE,BBB,ZX,17,19.0,15.0,490,0
FL0042,2024-07-09,AAA,DDD,QF,20,24.0,19.0,520,0
FL0043,2024-07-09,BBB,AAA,MN,23,29.0,23.0,410,0
FL0044,2024-07-09,CCC,DDD,ZX,2,-7.0,-14.0,320,0
FL0045,2024-07-09,DDD,EEE,QF,5,-2.0,-10.0,350,0
FL0046,2024-07-10,AAA,CCC,QF,18,22.0,17.0,450,0
FL0047,2024-07-10,BBB,EEE,MN,21,27.0,21.0,550,0
FL0048,2024-07-10,CCC,BBB,ZX,0,-9.0,-16.0,320,0
FL0049,2024-07-10,DDD,EEE,QF,3,-4.0,-12.0,350,0
FL0050,2024-07-10,EEE,AAA,MN,6,1.0,-8.0,590,0
FL0051,2024-07-11,BBB,DDD,MN,19,25.0,19.0,480,0
FL0052,2024-07-11,CCC,AAA,ZX,22,30.0,23.0,390,0
FL0053,2024-07-11,DDD,CCC,QF,1,-6.0,-14.0,350,0
