order_id,session_id,order_value,items
O0001,SSN0002,71,1
O0002,SSN0005,107,1
O0003,SSN0007,134,4
O0004,SSN0015,93,4
O0005,SSN0020,156,3
O0006,SSN0021,54,1
O0007,SSN0025,61,1
O0008,SSN0029,115,3
O0009,SSN0030,124,4
O0010,SSN0034,58,2
O0011,SSN0040,110,3
O0012,SSN0041,119,4
O0013,SSN0045,53,2
O0014,SSN0049,78,4
O0015,SSN0054,141,3
O0016,SSN0057,66,4
O0017,SSN0063,100,3
O0018,SSN0065,127,2
O0019,SSN0068,43,2
O0020,SSN0070,70,1
O0021,SSN0073,77,1
O0022,SSN0074,95,3
O0023,SSN0075,104,4
O0024,SSN0076,122,2
O0025,SSN0077,131,3
O0026,SSN0078,149,1
O0027,SSN0079,158,2
O0028,SSN0080,56,4
O0029,SSN0081,65,1
O0030,SSN0082,83,3
O0031,SSN0083,92,4
O0032,SSN0084,110,2
O0033,SSN0086,99,4
O0034,SSN0093,78,3
O0035,SSN0095,105,2
O0036,SSN0100,121,3
O0037,SSN0101,139,1
O0038,SSN0106,82,4
O0039,SSN0109,89,4
O0040,SSN0113,143,2
O0041,SSN0118,95,2
O0042,SSN0124,138,2
O0043,SSN0129,90,2
O0044,SSN0134,106,3
O0045,SSN0137,151,4
O0046,SSN0142,94,3
O0047,SSN0143,112,1
O0048,SSN0147,128,2
O0049,SSN0149,155,1
O0050,SSN0156,134,4
O0051,SSN0157,114,1
O0052,SSN0158,123,2
O0053,SSN0159,141,4
O0054,SSN0160,150,1
O0055,SSN0161,48,3
O0056,SSN0162,57,4
O0057,SSN0163,75,2
O0058,SSN0164,84,3
O0059,SSN0165,102,1
O0060,SSN0166,111,2
O0061,SSN0167,129,4
O0062,SSN0168,138,1
O0063,SSN0173,43,3
O0064,SSN0175,70,2
O0065,SSN0178,106,2
O0066,SSN0180,133,1
O0067,SSN0185,47,4
O0068,SSN0188,92,1
O0069,SSN0197,60,2
O0070,SSN0201,114,4
O0071,SSN0202,123,1
O0072,SSN0209,55,2
O0073,SSN0213,109,4
O0074,SSN0214,118,1
O0075,SSN0221,59,3
O0076,SSN0222,77,1
O0077,SSN0227,140,4
O0078,SSN0235,99,4
O0079,SSN0237,126,3
O0080,SSN0240,42,3
O0081,SSN0241,133,3
O0082,SSN0242,142,4
O0083,SSN0243,40,2
O0084,SSN0244,49,3
O0085,SSN0245,67,1
O0086,SSN0246,76,2
O0087,SSN0247,94,4
O0088,SSN0248,103,1
O0089,SSN0249,121,3
O0090,SSN0250,130,4
O0091,SSN0251,148,2
O0092,SSN0252,157,3
O0093,SSN0254,155,2
O0094,SSN0257,71,2
O0095,SSN0259,98,1
O0096,SSN0267,57,1
O0097,SSN0272,120,4
O0098,SSN0273,138,2
O0099,SSN0277,145,2
O0100,SSN0281,79,4
O0101,SSN0282,88,1
O0102,SSN0286,142,3
O0103,SSN0292,74,4
O0104,SSN0293,83,1
O0105,SSN0297,137,3
O0106,SSN0301,42,1
O0107,SSN0306,105,4
O0108,SSN0309,150,1
O0109,SSN0315,64,4
O0110,SSN0317,91,3
O0111,SSN0320,127,3
O0112,SSN0322,154,2
O0113,SSN0325,41,2
O0114,SSN0326,59,4
O0115,SSN0327,68,1
O0116,SSN0328,86,3
O0117,SSN0329,95,4
O0118,SSN0330,113,2
O0119,SSN0331,122,3
O0120,SSN0332,140,1
O0121,SSN0333,149,2
O0122,SSN0334,47,4
O0123,SSN0335,56,1
O0124,SSN0336,74,3
O0125,SSN0338,63,1
O0126,SSN0345,42,4
O0127,SSN0347,69,3
O0128,SSN0352,85,4
O0129,SSN0353,103,2
O0130,SSN0358,46,1
O0131,SSN0361,53,1
O0132,SSN0365,107,3
O0133,SSN0370,59,3
