shipment_id,ship_date,origin_depot,dest_depot,carrier,weight_kg,promised_days
SHP0001,2024-08-01,D03,D05,CR2,12,3
SHP0002,2024-08-02,D05,D02,CR3,19,1
SHP0003,2024-08-03,D01,D05,CR1,26,3
SHP0004,2024-08-04,D03,D02,CR2,33,1
SHP0005,2024-08-05,D05,D06,CR3,9,3
SHP0006,2024-08-06,D01,D02,CR1,16,1
SHP0007,2024-08-07,D03,D05,CR2,23,3
SHP0008,2024-08-08,D05,D02,CR3,30,1
SHP0009,2024-08-09,D01,D05,CR1,6,3
SHP0010,2024-08-10,D03,D02,CR2,13,1
SHP0011,2024-08-11,D05,D06,CR3,20,3
SHP0012,2024-08-12,D01,D02,CR1,27,1
SHP0013,2024-08-13,D03,D05,CR2,34,3
SHP0014,2024-08-14,D05,D02,CR3,10,1
SHP0015,2024-08-15,D01,D05,CR1,17,3
SHP0016,2024-08-16,D03,D02,CR2,24,1
SHP0017,2024-08-17,D05,D06,CR3,31,3
SHP0018,2024-08-18,D01,D02,CR1,7,1
SHP0019,2024-08-19,D03,D05,CR2,14,3
SHP0020,2024-08-20,D05,D02,CR3,21,1
SHP0021,2024-08-21,D01,D05,CR1,28,3
SHP0022,2024-08-22,D03,D02,CR2,35,1
SHP0023,2024-08-23,D05,D06,CR3,11,3
SHP0024,2024-08-24,D01,D02,CR1,18,1
SHP0025,2024-08-25,D03,D05,CR2,25,3
SHP0026,2024-08-26,D05,D02,CR3,32,1
SHP0027,2024-08-27,D01,D05,CR1,8,3
SHP0028,2024-08-28,D03,D02,CR2,15,1
SHP0029,2024-08-29,D05,D06,CR3,22,3
SHP0030,2024-08-30,D01,D02,CR1,29,1
SHP0031,2024-08-31,D03,D05,CR2,5,3
SHP0032,2024-09-01,D05,D02,CR3,12,1
SHP0033,2024-09-02,D01,D05,CR1,19,3
SHP0034,2024-09-03,D03,D02,CR2,26,1
SHP0035,2024-09-04,D05,D06,CR3,33,3
SHP0036,2024-09-05,D01,D02,CR1,9,1
SHP0037,2024-09-06,D03,D05,CR2,16,3
SHP0038,2024-09-07,D05,D02,CR3,23,1
SHP0039,2024-09-08,D01,D05,CR1,30,3
SHP0040,2024-09-09,D03,D02,CR2,6,1
SHP0041,2024-09-10,D05,D06,CR3,13,3
SHP0042,2024-09-11,D01,D02,CR1,20,1
SHP0043,2024-09-12,D03,D05,CR2,27,3
SHP0044,2024-09-13,D05,D02,CR3,34,1
SHP0045,2024-09-14,D01,D05,CR1,10,3
SHP0046,2024-09-15,D03,D02,CR2,17,1
SHP0047,2024-09-16,D05,D06,CR3,24,3
SHP0048,2024-09-17,D01,D02,CR1,31,1
SHP0049,2024-09-18,D03,D05,CR2,7,3
SHP0050,2024-09-19,D05,D02,CR3,14,1
SHP0051,2024-09-20,D01,D05,CR1,21,3
SHP0052,2024-09-21,D03,D02,CR2,28,1
SHP0053,2024-09-22,D05,D06,CR3,35,3
SHP0054,2024-09-23,D01,D02,CR1,11,1
SHP0055,2024-09-24,D03,D05,CR2,18,3
SHP0056,2024-09-25,D05,D02,CR3,25,1
SHP0057,2024-09-26,D01,D05,CR1,32,3
SHP0058,2024-09-27,D03,D02,CR2,8,1
SHP0059,2024-09-28,D05,D06,CR3,15,3
SHP0060,2024-09-29,D01,D02,CR1,22,1
