week_start,employee_id,project_id,hours
2024-01-01,E01,P03,4
2024-01-01,E02,P02,15
2024-01-01,E03,P01,14
2024-01-01,E03,P06,5
2024-01-01,E04,P05,4
2024-01-01,E05,P04,15
2024-01-01,E06,P03,14
2024-01-01,E07,P02,13
2024-01-01,E08,P01,12
2024-01-01,E08,P06,15
2024-01-01,E09,P05,14
2024-01-01,E10,P04,13
2024-01-01,E11,P03,12
2024-01-01,E12,P02,11
2024-01-01,E13,P01,10
2024-01-01,E13,P06,13
2024-01-01,E14,P05,12
2024-01-01,E15,P04,11
2024-01-08,E01,P02,14
2024-01-08,E02,P01,13
2024-01-08,E02,P06,4
2024-01-08,E03,P05,15
2024-01-08,E04,P04,14
2024-01-08,E05,P03,13
2024-01-08,E06,P02,12
2024-01-08,E07,P01,11
2024-01-08,E07,P06,14
2024-01-08,E08,P05,13
2024-01-08,E09,P04,12
2024-01-08,E10,P03,11
2024-01-08,E11,P02,10
2024-01-08,E12,P01,9
2024-01-08,E12,P06,12
2024-01-08,E13,P05,11
2024-01-08,E14,P04,10
2024-01-08,E15,P03,9
2024-01-15,E01,P01,12
2024-01-15,E01,P06,15
2024-01-15,E02,P05,14
2024-01-15,E03,P04,13
2024-01-15,E04,P03,12
2024-01-15,E05,P02,11
2024-01-15,E06,P01,10
2024-01-15,E06,P06,13
2024-01-15,E07,P05,12
2024-01-15,E08,P04,11
2024-01-15,E09,P03,10
2024-01-15,E10,P02,9
2024-01-15,E11,P01,8
2024-01-15,E11,P06,11
2024-01-15,E12,P05,10
2024-01-15,E13,P04,9
2024-01-15,E14,P03,8
2024-01-15,E15,P02,7
2024-01-22,E01,P05,13
2024-01-22,E02,P04,12
2024-01-22,E03,P03,11
2024-01-22,E04,P02,10
2024-01-22,E05,P01,9
2024-01-22,E05,P06,12
2024-01-22,E06,P05,11
2024-01-22,E07,P04,10
2024-01-22,E08,P03,9
2024-01-22,E09,P02,8
2024-01-22,E10,P01,7
2024-01-22,E10,P06,10
2024-01-22,E11,P05,9
2024-01-22,E12,P04,8
2024-01-22,E13,P03,7
2024-01-22,E14,P02,6
2024-01-22,E15,P01,5
2024-01-22,E15,P06,8
2024-01-29,E01,P04,11
2024-01-29,E02,P03,10
2024-01-29,E03,P02,9
2024-01-29,E04,P01,8
2024-01-29,E04,P06,11
2024-01-29,E05,P05,10
2024-01-29,E06,P04,9
2024-01-29,E07,P03,8
2024-01-29,E08,P02,7
2024-01-29,E09,P01,6
2024-01-29,E09,P06,9
2024-01-29,E10,P05,8
2024-01-29,E11,P04,7
2024-01-29,E12,P03,6
2024-01-29,E13,P02,5
2024-01-29,E14,P01,4
2024-01-29,E14,P06,7
2024-01-29,E15,P05,6
2024-02-05,E01,P03,9
2024-02-05,E02,P02,8
2024-02-05,E03,P01,7
2024-02-05,E03,P06,10
2024-02-05,E04,P05,9
2024-02-05,E05,P04,8
2024-02-05,E06,P03,7
2024-02-05,E07,P02,6
2024-02-05,E08,P01,5
2024-02-05,E08,P06,8
2024-02-05,E09,P05,7
2024-02-05,E10,P04,6
2024-02-05,E11,P03,5
2024-02-05,E12,P02,4
2024-02-05,E13,P01,15
2024-02-05,E13,P06,6
2024-02-05,E14,P05,5
2024-02-05,E15,P04,4
2024-02-12,E01,P02,7
2024-02-12,E02,P01,6
2024-02-12,E02,P06,9
2024-02-12,E03,P05,8
2024-02-12,E04,P04,7
2024-02-12,E05,P03,6
2024-02-12,E06,P02,5
2024-02-12,E07,P01,4
2024-02-12,E07,P06,7
2024-02-12,E08,P05,6
2024-02-12,E09,P04,5
2024-02-12,E10,P03,4
2024-02-12,E11,P02,15
2024-02-12,E12,P01,14
2024-02-12,E12,P06,5
2024-02-12,E13,P05,4
2024-02-12,E14,P04,15
2024-02-12,E15,P03,14
2024-02-19,E01,P01,5
2024-02-19,E01,P06,8
2024-02-19,E02,P05,7
2024-02-19,E03,P04,6
2024-02-19,E04,P03,5
2024-02-19,E05,P02,4
2024-02-19,E06,P01,15
2024-02-19,E06,P06,6
2024-02-19,E07,P05,5
2024-02-19,E08,P04,4
2024-02-19,E09,P03,15
2024-02-19,E10,P02,14
2024-02-19,E11,P01,13
2024-02-19,E11,P06,4
2024-02-19,E12,P05,15
2024-02-19,E13,P04,14
2024-02-19,E14,P03,13
2024-02-19,E15,P02,12
2024-02-26,E01,P05,6
2024-02-26,E02,P04,5
2024-02-26,E03,P03,4
2024-02-26,E04,P02,15
2024-02-26,E05,P01,14
2024-02-26,E05,P06,5
2024-02-26,E06,P05,4
2024-02-26,E07,P04,15
2024-02-26,E08,P03,14
2024-02-26,E09,P02,13
2024-02-26,E10,P01,12
2024-02-26,E10,P06,15
2024-02-26,E11,P05,14
2024-02-26,E12,P04,13
