employee_id,training_code,completed_date
E01,T1,2024-02-02
E01,T3,2024-02-04
E02,T2,2024-02-05
E02,T4,2024-02-09
E03,T1,2024-02-04
E03,T3,2024-02-10
E04,T2,2024-02-09
E04,T4,2024-02-17
E05,T1,2024-02-06
E05,T3,2024-02-16
E06,T2,2024-02-13
E06,T4,2024-02-25
E07,T1,2024-02-08
E07,T3,2024-02-22
E08,T2,2024-02-17
E08,T4,2024-02-08
E09,T1,2024-02-10
E09,T3,2024-02-03
E10,T1,2024-02-11
E10,T2,2024-02-21
E10,T3,2024-02-06
E10,T4,2024-02-16
E11,T1,2024-02-12
E11,T3,2024-02-09
E12,T2,2024-02-25
E12,T4,2024-02-24
E13,T1,2024-02-14
E13,T3,2024-02-15
E14,T2,2024-02-04
E14,T4,2024-02-07
E15,T1,2024-02-16
E15,T3,2024-02-21
