order_id,reservation_id,server,food_total,drink_total,duration_min
O0001,R0001,Ana,53,20,67
O0002,R0002,Bo,62,26,69
O0003,R0003,Chen,71,32,71
O0004,R0004,Chen,63,28,70
O0005,R0005,Ana,81,40,74
O0006,R0006,Bo,54,22,68
O0007,R0007,Ana,73,36,73
O0008,R0008,Chen,55,24,69
O0009,R0009,Bo,82,30,75
O0010,R0010,Chen,83,32,76
O0011,R0011,Bo,74,26,74
O0012,R0012,Ana,65,20,72
O0013,R0013,Dia,48,10,69
O0014,R0014,Dia,48,10,69
O0015,R0015,Dia,48,10,69
O0016,R0016,Bo,58,18,72
O0017,R0017,Chen,67,24,74
O0018,R0018,Dia,76,30,76
O0019,R0019,Dia,68,26,75
O0020,R0020,Bo,86,38,79
O0021,R0021,Chen,59,20,73
O0022,R0022,Bo,78,34,78
O0023,R0023,Dia,60,22,74
O0024,R0025,Dia,88,30,81
O0025,R0027,Bo,70,30,77
O0026,R0029,Ana,53,20,74
O0027,R0030,Ana,53,20,74
O0028,R0031,Chen,63,16,77
O0029,R0032,Dia,72,22,79
O0030,R0033,Ana,81,28,81
O0031,R0034,Ana,73,24,80
O0032,R0035,Chen,91,36,84
O0033,R0036,Dia,64,18,78
O0034,R0037,Chen,83,32,83
O0035,R0038,Ana,65,20,79
O0036,R0039,Dia,92,38,85
O0037,R0040,Ana,73,40,86
O0038,R0041,Dia,84,34,84
O0039,R0042,Chen,75,28,82
O0040,R0043,Bo,58,18,79
O0041,R0044,Bo,58,18,79
O0042,R0045,Bo,58,18,79
O0043,R0046,Dia,68,26,82
O0044,R0047,Ana,57,20,84
O0045,R0048,Bo,66,26,86
O0046,R0049,Bo,58,22,85
O0047,R0050,Dia,76,34,89
O0048,R0051,Ana,49,16,83
O0049,R0052,Dia,68,30,88
O0050,R0053,Bo,50,18,84
O0051,R0054,Ana,77,36,90
O0052,R0055,Bo,78,38,91
O0053,R0056,Ana,69,32,89
O0054,R0058,Chen,43,16,84
O0055,R0060,Chen,43,16,84
O0056,R0062,Bo,62,30,89
O0057,R0063,Chen,71,36,91
O0058,R0064,Chen,63,20,90
O0059,R0065,Ana,81,32,94
O0060,R0066,Bo,54,26,88
O0061,R0067,Ana,73,28,93
O0062,R0068,Chen,55,16,89
O0063,R0069,Bo,82,34,95
O0064,R0070,Chen,83,36,96
O0065,R0071,Bo,74,30,94
O0066,R0072,Ana,65,24,92
O0067,R0073,Dia,48,14,89
O0068,R0074,Dia,48,14,89
O0069,R0075,Dia,48,14,89
O0070,R0076,Bo,58,22,92
O0071,R0077,Chen,67,28,94
O0072,R0078,Dia,76,34,96
O0073,R0079,Dia,68,30,95
O0074,R0080,Bo,86,30,99
O0075,R0081,Chen,59,24,93
O0076,R0082,Bo,78,26,98
O0077,R0083,Dia,60,26,94
O0078,R0084,Chen,87,32,100
