claim_id,policy_id,loss_date,report_date,close_date,cause,adjuster,claim_amount
CL0001,POL001,2024-04-04,2024-04-06,2024-04-14,Theft,AJ4,1090
CL0002,POL002,2024-04-16,2024-04-20,2024-05-01,Collision,AJ3,1180
CL0003,POL003,2024-04-10,2024-04-14,2024-04-26,Collision,AJ4,1164
CL0004,POL003,2024-04-19,2024-04-19,2024-05-02,Weather,AJ1,1217
CL0005,POL004,2024-04-13,2024-04-13,2024-04-27,Weather,AJ2,1201
CL0006,POL005,2024-04-25,2024-04-27,2024-05-14,Water,AJ1,1291
CL0007,POL006,2024-04-19,2024-04-21,2024-05-09,Water,AJ2,1275
CL0008,POL006,2024-04-28,2024-05-01,2024-05-20,Collision,AJ3,1328
CL0009,POL007,2024-04-22,2024-04-25,2024-05-15,Collision,AJ4,1312
CL0010,POL008,2024-05-04,2024-05-04,2024-05-27,Theft,AJ3,1402
CL0011,POL009,2024-04-28,2024-04-28,2024-05-22,Theft,AJ4,1386
CL0012,POL009,2024-05-07,2024-05-08,2024-05-13,Water,AJ1,1439
CL0013,POL010,2024-05-01,2024-05-02,2024-05-08,Water,AJ2,1423
CL0014,POL011,2024-05-13,2024-05-16,2024-05-25,Weather,AJ1,1513
CL0015,POL012,2024-05-07,2024-05-10,2024-05-20,Weather,AJ2,1497
CL0016,POL012,2024-05-16,2024-05-20,2024-05-31,Theft,AJ3,1550
CL0017,POL013,2024-05-10,2024-05-14,2024-05-26,Theft,AJ4,1534
CL0018,POL014,2024-05-22,2024-05-23,2024-06-07,Collision,AJ3,1624
CL0019,POL015,2024-05-16,2024-05-17,2024-06-02,Collision,AJ4,1608
CL0020,POL015,2024-05-25,2024-05-27,2024-06-13,Weather,AJ1,1661
CL0021,POL016,2024-05-19,2024-05-21,2024-06-08,Weather,AJ2,1645
CL0022,POL017,2024-05-31,2024-06-04,2024-06-25,Water,AJ1,1735
CL0023,POL018,2024-05-25,2024-05-29,2024-06-20,Water,AJ2,1719
CL0024,POL018,2024-06-03,2024-06-03,2024-06-26,Collision,AJ3,1772
CL0025,POL019,2024-05-28,2024-05-28,2024-06-21,Collision,AJ4,1756
CL0026,POL020,2024-06-09,2024-06-11,2024-06-18,Theft,AJ3,1846
CL0027,POL021,2024-06-03,2024-06-05,2024-06-13,Theft,AJ4,1830
CL0028,POL021,2024-06-12,2024-06-15,2024-06-24,Water,AJ1,1883
CL0029,POL022,2024-06-06,2024-06-09,2024-06-19,Water,AJ2,1867
CL0030,POL023,2024-06-18,2024-06-18,2024-07-01,Weather,AJ1,1957
CL0031,POL024,2024-06-12,2024-06-12,2024-06-26,Weather,AJ2,1941
CL0032,POL024,2024-06-21,2024-06-22,2024-07-07,Theft,AJ3,1994
CL0033,POL025,2024-06-15,2024-06-16,2024-07-02,Theft,AJ4,1978
CL0034,POL026,2024-06-27,2024-06-30,2024-07-19,Collision,AJ3,2068
CL0035,POL027,2024-06-21,2024-06-24,2024-07-14,Collision,AJ4,2052
CL0036,POL027,2024-06-30,2024-07-04,2024-07-25,Weather,AJ1,2105
CL0037,POL028,2024-06-24,2024-06-28,2024-07-20,Weather,AJ2,2089
CL0038,POL029,2024-07-06,2024-07-07,2024-07-12,Water,AJ1,2179
CL0039,POL030,2024-06-30,2024-07-01,2024-07-07,Water,AJ2,2163
CL0040,POL030,2024-07-09,2024-07-11,2024-07-18,Collision,AJ3,2216
