order_id,order_date,buyer_id,buyer_region,listing_id,quantity,delivered_date
O0001,2024-09-01,B01,South,L004,3,2024-09-05
O0002,2024-09-01,B02,North,L006,1,2024-09-06
O0003,2024-09-01,B04,East,L010,3,2024-09-03
O0004,2024-09-01,B05,South,L012,1,2024-09-04
O0005,2024-09-01,B06,North,L014,2,2024-09-05
O0006,2024-09-01,B08,East,L018,1,2024-09-07
O0007,2024-09-01,B09,South,L020,2,2024-09-03
O0008,2024-09-01,B10,North,L002,3,2024-09-04
O0009,2024-09-01,B12,East,L006,2,2024-09-06
O0010,2024-09-01,B13,South,L008,3,2024-09-07
O0011,2024-09-01,B14,North,L010,1,2024-09-03
O0012,2024-09-02,B01,North,L005,1,2024-09-07
O0013,2024-09-02,B03,East,L009,3,2024-09-04
O0014,2024-09-02,B04,South,L011,1,2024-09-05
O0015,2024-09-02,B05,North,L013,2,2024-09-06
O0016,2024-09-02,B07,East,L017,1,2024-09-08
O0017,2024-09-02,B08,South,L019,2,2024-09-04
O0018,2024-09-02,B09,North,L001,3,2024-09-05
O0019,2024-09-02,B11,East,L005,2,2024-09-07
O0020,2024-09-02,B12,South,L007,3,2024-09-08
O0021,2024-09-02,B13,North,L009,1,2024-09-04
O0022,2024-09-02,B15,East,L013,3,2024-09-06
O0023,2024-09-03,B02,East,L008,3,2024-09-05
O0024,2024-09-03,B03,South,L010,1,2024-09-06
O0025,2024-09-03,B04,North,L012,2,2024-09-07
O0026,2024-09-03,B06,East,L016,1,2024-09-09
O0027,2024-09-03,B07,South,L018,2,2024-09-05
O0028,2024-09-03,B08,North,L020,3,2024-09-06
O0029,2024-09-03,B10,East,L004,2,2024-09-08
O0030,2024-09-03,B11,South,L006,3,2024-09-09
O0031,2024-09-03,B12,North,L008,1,2024-09-05
O0032,2024-09-03,B14,East,L012,3,2024-09-07
O0033,2024-09-03,B15,South,L014,1,2024-09-08
O0034,2024-09-04,B01,East,L007,3,2024-09-06
O0035,2024-09-04,B02,South,L009,1,2024-09-07
O0036,2024-09-04,B03,North,L011,2,2024-09-08
O0037,2024-09-04,B05,East,L015,1,2024-09-10
O0038,2024-09-04,B06,South,L017,2,2024-09-06
O0039,2024-09-04,B07,North,L019,3,2024-09-07
O0040,2024-09-04,B09,East,L003,2,2024-09-09
O0041,2024-09-04,B10,South,L005,3,2024-09-10
O0042,2024-09-04,B11,North,L007,1,2024-09-06
O0043,2024-09-04,B13,East,L011,3,2024-09-08
O0044,2024-09-04,B14,South,L013,1,2024-09-09
O0045,2024-09-04,B15,North,L015,2,2024-09-10
O0046,2024-09-05,B01,South,L008,1,2024-09-08
O0047,2024-09-05,B02,North,L010,2,2024-09-09
O0048,2024-09-05,B04,East,L014,1,2024-09-11
O0049,2024-09-05,B05,South,L016,2,2024-09-07
O0050,2024-09-05,B06,North,L018,3,2024-09-08
O0051,2024-09-05,B08,East,L002,2,2024-09-10
O0052,2024-09-05,B09,South,L004,3,2024-09-11
O0053,2024-09-05,B10,North,L006,1,2024-09-07
O0054,2024-09-05,B12,East,L010,3,2024-09-09
O0055,2024-09-05,B13,South,L012,1,2024-09-10
O0056,2024-09-05,B14,North,L014,2,2024-09-11
O0057,2024-09-06,B01,North,L009,2,2024-09-10
O0058,2024-09-06,B03,East,L013,1,2024-09-12
O0059,2024-09-06,B04,South,L015,2,2024-09-08
O0060,2024-09-06,B05,North,L017,3,2024-09-09
O0061,2024-09-06,B07,East,L001,2,2024-09-11
O0062,2024-09-06,B08,South,L003,3,2024-09-12
O0063,2024-09-06,B09,North,L005,1,2024-09-08
O0064,2024-09-06,B11,East,L009,3,2024-09-10
O0065,2024-09-06,B12,South,L011,1,2024-09-11
O0066,2024-09-06,B13,North,L013,2,2024-09-12
O0067,2024-09-06,B15,East,L017,1,2024-09-09
O0068,2024-09-07,B02,East,L012,1,2024-09-13
O0069,2024-09-07,B03,South,L014,2,2024-09-09
O0070,2024-09-07,B04,North,L016,3,2024-09-10
O0071,2024-09-07,B06,East,L020,2,2024-09-12
O0072,2024-09-07,B07,South,L002,3,2024-09-13
O0073,2024-09-07,B08,North,L004,1,2024-09-09
O0074,2024-09-07,B10,East,L008,3,2024-09-11
O0075,2024-09-07,B11,South,L010,1,2024-09-12
O0076,2024-09-07,B12,North,L012,2,2024-09-13
O0077,2024-09-07,B14,East,L016,1,2024-09-10
O0078,2024-09-07,B15,South,L018,2,2024-09-11
O0079,2024-09-08,B01,East,L011,1,2024-09-14
O0080,2024-09-08,B02,South,L013,2,2024-09-10
O0081,2024-09-08,B03,North,L015,3,2024-09-11
O0082,2024-09-08,B05,East,L019,2,2024-09-13
O0083,2024-09-08,B06,South,L001,3,2024-09-14
O0084,2024-09-08,B07,North,L003,1,2024-09-10
O0085,2024-09-08,B09,East,L007,3,2024-09-12
O0086,2024-09-08,B10,South,L009,1,2024-09-13
O0087,2024-09-08,B11,North,L011,2,2024-09-14
O0088,2024-09-08,B13,East,L015,1,2024-09-11
O0089,2024-09-08,B14,South,L017,2,2024-09-12
O0090,2024-09-08,B15,North,L019,3,2024-09-13
O0091,2024-09-09,B01,South,L012,2,2024-09-11
O0092,2024-09-09,B02,North,L014,3,2024-09-12
O0093,2024-09-09,B04,East,L018,2,2024-09-14
O0094,2024-09-09,B05,South,L020,3,2024-09-15
O0095,2024-09-09,B06,North,L002,1,2024-09-11
O0096,2024-09-09,B08,East,L006,3,2024-09-13
O0097,2024-09-09,B09,South,L008,1,2024-09-14
O0098,2024-09-09,B10,North,L010,2,2024-09-15
O0099,2024-09-09,B12,East,L014,1,2024-09-12
O0100,2024-09-09,B13,South,L016,2,2024-09-13
O0101,2024-09-09,B14,North,L018,3,2024-09-14
O0102,2024-09-10,B01,North,L013,3,2024-09-13
O0103,2024-09-10,B03,East,L017,2,2024-09-15
O0104,2024-09-10,B04,South,L019,3,2024-09-16
O0105,2024-09-10,B05,North,L001,1,2024-09-12
O0106,2024-09-10,B07,East,L005,3,2024-09-14
O0107,2024-09-10,B08,South,L007,1,2024-09-15
O0108,2024-09-10,B09,North,L009,2,2024-09-16
O0109,2024-09-10,B11,East,L013,1,2024-09-13
O0110,2024-09-10,B12,South,L015,2,2024-09-14
O0111,2024-09-10,B13,North,L017,3,2024-09-15
