review_id,order_id,rating
RV0001,O0001,5
RV0002,O0002,4
RV0003,O0004,1
RV0004,O0005,3
RV0005,O0007,5
RV0006,O0008,2
RV0007,O0010,4
RV0008,O0011,3
RV0009,O0013,2
RV0010,O0014,1
RV0011,O0016,3
RV0012,O0017,5
RV0013,O0019,2
RV0014,O0020,4
RV0015,O0022,1
RV0016,O0023,2
RV0017,O0025,3
RV0018,O0026,3
RV0019,O0028,2
RV0020,O0029,2
RV0021,O0031,3
RV0022,O0032,1
RV0023,O0034,3
RV0024,O0035,2
RV0025,O0037,4
RV0026,O0038,1
RV0027,O0040,3
RV0028,O0041,5
RV0029,O0043,2
RV0030,O0044,1
RV0031,O0046,3
RV0032,O0047,5
RV0033,O0049,2
RV0034,O0050,4
RV0035,O0052,1
RV0036,O0053,5
RV0037,O0055,2
RV0038,O0056,4
RV0039,O0058,5
RV0040,O0059,2
RV0041,O0061,4
RV0042,O0062,1
RV0043,O0064,3
RV0044,O0065,2
RV0045,O0067,4
RV0046,O0068,5
RV0047,O0070,4
RV0048,O0071,4
RV0049,O0073,5
RV0050,O0074,3
RV0051,O0076,4
RV0052,O0077,4
RV0053,O0079,1
RV0054,O0080,3
RV0055,O0082,5
RV0056,O0083,2
RV0057,O0085,4
RV0058,O0086,3
RV0059,O0088,5
RV0060,O0089,2
RV0061,O0091,4
RV0062,O0092,1
RV0063,O0094,3
RV0064,O0095,2
RV0065,O0097,4
RV0066,O0098,1
RV0067,O0100,3
RV0068,O0101,5
RV0069,O0103,1
RV0070,O0104,3
RV0071,O0106,5
RV0072,O0107,4
RV0073,O0109,1
RV0074,O0110,3
RV0075,O0112,5
RV0076,O0113,1
RV0077,O0115,2
RV0078,O0116,5
RV0079,O0118,1
RV0080,O0119,1
RV0081,O0121,5
RV0082,O0122,5
RV0083,O0124,2
RV0084,O0125,4
RV0085,O0127,1
RV0086,O0128,5
RV0087,O0130,2
RV0088,O0131,4
RV0089,O0133,1
RV0090,O0134,3
RV0091,O0136,5
RV0092,O0137,4
RV0093,O0139,1
RV0094,O0140,3
RV0095,O0142,5
RV0096,O0143,2
RV0097,O0145,4
RV0098,O0146,3
RV0099,O0148,2
RV0100,O0149,1
RV0101,O0151,3
RV0102,O0152,5
RV0103,O0154,2
RV0104,O0155,4
RV0105,O0157,1
RV0106,O0158,2
RV0107,O0160,3
RV0108,O0161,3
RV0109,O0163,2
RV0110,O0164,2
RV0111,O0166,3
RV0112,O0167,1
RV0113,O0169,3
RV0114,O0170,2
RV0115,O0172,4
RV0116,O0173,1
RV0117,O0175,3
RV0118,O0176,5
RV0119,O0178,2
RV0120,O0179,1
RV0121,O0181,3
RV0122,O0182,5
RV0123,O0184,2
RV0124,O0185,4
RV0125,O0187,1
RV0126,O0188,5
RV0127,O0190,2
RV0128,O0191,4
RV0129,O0193,5
RV0130,O0194,2
RV0131,O0196,4
RV0132,O0197,1
RV0133,O0199,3
RV0134,O0200,2
RV0135,O0202,4
RV0136,O0203,5
RV0137,O0205,4
RV0138,O0206,4
RV0139,O0208,5
RV0140,O0209,3
RV0141,O0211,4
RV0142,O0212,4
RV0143,O0214,1
RV0144,O0215,3
RV0145,O0217,5
RV0146,O0218,2
RV0147,O0220,4
RV0148,O0221,3
RV0149,O0223,5
RV0150,O0224,2
RV0151,O0226,4
RV0152,O0227,1
RV0153,O0229,3
RV0154,O0230,2
RV0155,O0232,4
RV0156,O0233,1
RV0157,O0235,3
RV0158,O0236,5
RV0159,O0238,1
RV0160,O0239,3
RV0161,O0241,5
RV0162,O0242,4
RV0163,O0244,1
RV0164,O0245,3
RV0165,O0247,5
RV0166,O0248,1
RV0167,O0250,2
RV0168,O0251,5
RV0169,O0253,1
RV0170,O0254,1
RV0171,O0256,5
RV0172,O0257,5
RV0173,O0259,2
RV0174,O0260,4
RV0175,O0262,1
RV0176,O0263,5
RV0177,O0265,2
RV0178,O0266,4
RV0179,O0268,1
RV0180,O0269,3
RV0181,O0271,5
RV0182,O0272,4
RV0183,O0274,1
RV0184,O0275,3
RV0185,O0277,5
RV0186,O0278,2
RV0187,O0280,4
RV0188,O0281,3
RV0189,O0283,2
RV0190,O0284,1
RV0191,O0286,3
RV0192,O0287,5
RV0193,O0289,2
RV0194,O0290,4
RV0195,O0292,1
RV0196,O0293,2
RV0197,O0295,3
RV0198,O0296,3
RV0199,O0298,2
RV0200,O0299,2
RV0201,O0301,3
RV0202,O0302,1
RV0203,O0304,3
RV0204,O0305,2
RV0205,O0307,4
RV0206,O0308,1
RV0207,O0310,3
RV0208,O0311,5
RV0209,O0313,2
RV0210,O0314,1
RV0211,O0316,3
RV0212,O0317,5
RV0213,O0319,2
RV0214,O0320,4
RV0215,O0322,1
RV0216,O0323,5
RV0217,O0325,2
RV0218,O0326,4
RV0219,O0328,5
RV0220,O0329,2
RV0221,O0331,4
RV0222,O0332,1
RV0223,O0334,3
RV0224,O0335,2
RV0225,O0337,4
RV0226,O0338,5
RV0227,O0340,4
RV0228,O0341,4
RV0229,O0343,5
RV0230,O0344,3
RV0231,O0346,4
RV0232,O0347,4
RV0233,O0349,1
RV0234,O0350,3
RV0235,O0352,5
RV0236,O0353,2
RV0237,O0355,4
RV0238,O0356,3
RV0239,O0358,5
RV0240,O0359,2
RV0241,O0361,4
RV0242,O0362,1
RV0243,O0364,3
RV0244,O0365,2
RV0245,O0367,4
RV0246,O0368,1
RV0247,O0370,3
RV0248,O0371,5
RV0249,O0373,1
RV0250,O0374,3
RV0251,O0376,5
RV0252,O0377,4
RV0253,O0379,1
RV0254,O0380,3
RV0255,O0382,5
RV0256,O0383,1
RV0257,O0385,2
RV0258,O0386,5
RV0259,O0388,1
RV0260,O0389,1
RV0261,O0391,5
RV0262,O0392,5
RV0263,O0394,2
RV0264,O0395,4
RV0265,O0397,1
RV0266,O0398,5
RV0267,O0400,2
RV0268,O0401,4
RV0269,O0403,1
RV0270,O0404,3
RV0271,O0406,5
RV0272,O0407,4
RV0273,O0409,1
RV0274,O0410,3
RV0275,O0412,5
RV0276,O0413,2
RV0277,O0415,4
RV0278,O0416,3
RV0279,O0418,2
RV0280,O0419,1
RV0281,O0421,3
RV0282,O0422,5
RV0283,O0424,2
RV0284,O0425,4
RV0285,O0427,1
RV0286,O0428,2
RV0287,O0430,3
RV0288,O0431,3
RV0289,O0433,2
RV0290,O0434,2
RV0291,O0436,3
RV0292,O0437,1
RV0293,O0439,3
RV0294,O0440,2
RV0295,O0442,4
RV0296,O0443,1
RV0297,O0445,3
RV0298,O0446,5
RV0299,O0448,2
RV0300,O0449,1
