customer_id,month,plan_id,monthly_fee,included_minutes,included_gb,included_texts,voice_minutes,data_gb,texts,weekend_data_gb,weekday_data_gb,overage_charge,discount,bill_amount,due_date,paid_date
C01,2024-01-01,P1,30,300,5,500,240,6.0,350,1.9,4.1,10.0,0,40.0,2024-01-21,2024-01-17
C01,2024-02-01,P1,30,300,5,500,263,7.5,369,2.9,4.6,25.0,0,55.0,2024-02-21,2024-02-18
C01,2024-03-01,P1,30,300,5,500,286,9.0,388,3.9,5.1,40.0,0,70.0,2024-03-21,2024-03-19
C01,2024-04-01,P1,30,300,5,500,309,10.5,407,4.9,5.6,55.45,0,85.45,2024-04-21,2024-04-20
C02,2024-01-01,P2,55,700,20,2000,257,8.5,381,2.3,6.2,0.0,0,55.0,2024-01-21,2024-01-18
C02,2024-02-01,P2,55,700,20,2000,280,10.0,400,3.3,6.7,0.0,0,55.0,2024-02-21,2024-02-20
C02,2024-03-01,P2,55,700,20,2000,303,11.5,419,4.3,7.2,0.0,0,55.0,2024-03-21,2024-03-22
C02,2024-04-01,P2,55,700,20,2000,326,13.0,438,5.3,7.7,0.0,5,50.0,2024-04-21,2024-04-24
C03,2024-01-01,P3,80,1200,50,5000,274,11.0,412,2.7,8.3,0.0,0,80.0,2024-01-21,2024-01-19
C03,2024-02-01,P3,80,1200,50,5000,297,12.5,431,3.7,8.8,0.0,0,80.0,2024-02-21,2024-02-22
C03,2024-03-01,P3,80,1200,50,5000,320,14.0,450,4.7,9.3,0.0,5,75.0,2024-03-21,2024-03-25
C03,2024-04-01,P3,80,1200,50,5000,343,15.5,469,0.7,14.8,0.0,0,80.0,2024-04-21,2024-04-16
C04,2024-01-01,P1,30,300,5,500,291,13.5,443,3.1,10.4,85.0,0,115.0,2024-01-21,2024-01-20
C04,2024-02-01,P1,30,300,5,500,314,15.0,462,4.1,10.9,100.7,5,125.69999999999999,2024-02-21,2024-02-24
C04,2024-03-01,P1,30,300,5,500,337,16.5,481,5.1,11.4,116.85,0,146.85,2024-03-21,2024-03-16
C04,2024-04-01,P1,30,300,5,500,360,18.0,500,1.1,16.9,133.0,0,163.0,2024-04-21,2024-04-20
C05,2024-01-01,P2,55,700,20,2000,308,16.0,474,3.5,12.5,0.0,5,50.0,2024-01-21,2024-01-21
C05,2024-02-01,P2,55,700,20,2000,331,17.5,493,4.5,13.0,0.0,0,55.0,2024-02-21,2024-02-26
C05,2024-03-01,P2,55,700,20,2000,354,19.0,512,0.5,18.5,0.0,0,55.0,2024-03-21,2024-03-19
C05,2024-04-01,P2,55,700,20,2000,377,20.5,531,1.5,19.0,5.0,0,60.0,2024-04-21,2024-04-24
C06,2024-01-01,P3,80,1200,50,5000,325,18.5,505,3.9,14.6,0.0,0,80.0,2024-01-21,2024-01-22
C06,2024-02-01,P3,80,1200,50,5000,348,20.0,524,4.9,15.1,0.0,0,80.0,2024-02-21,2024-02-16
C06,2024-03-01,P3,80,1200,50,5000,371,21.5,543,0.9,20.6,0.0,0,80.0,2024-03-21,2024-03-22
C06,2024-04-01,P3,80,1200,50,5000,394,23.0,562,1.9,21.1,0.0,0,80.0,2024-04-21,2024-04-16
C07,2024-01-01,P1,30,300,5,500,342,21.0,536,4.3,16.7,162.46,0,192.46,2024-01-21,2024-01-23
C07,2024-02-01,P1,30,300,5,500,365,22.5,555,5.3,17.2,178.8,0,208.8,2024-02-21,2024-02-18
C07,2024-03-01,P1,30,300,5,500,388,24.0,574,1.3,22.7,195.14,0,225.14,2024-03-21,2024-03-25
C07,2024-04-01,P1,30,300,5,500,411,25.5,593,2.3,23.2,211.48,0,241.48,2024-04-21,2024-04-20
C08,2024-01-01,P2,55,700,20,2000,359,23.5,567,4.7,18.8,35.0,0,90.0,2024-01-21,2024-01-24
C08,2024-02-01,P2,55,700,20,2000,382,25.0,586,0.7,24.3,50.0,0,105.0,2024-02-21,2024-02-20
C08,2024-03-01,P2,55,700,20,2000,405,26.5,605,1.7,24.8,65.0,0,120.0,2024-03-21,2024-03-16
C08,2024-04-01,P2,55,700,20,2000,428,28.0,624,2.7,25.3,80.0,5,130.0,2024-04-21,2024-04-24
C09,2024-01-01,P3,80,1200,50,5000,376,26.0,598,5.1,20.9,0.0,0,80.0,2024-01-21,2024-01-25
C09,2024-02-01,P3,80,1200,50,5000,399,27.5,617,1.1,26.4,0.0,0,80.0,2024-02-21,2024-02-22
C09,2024-03-01,P3,80,1200,50,5000,422,29.0,636,2.1,26.9,0.0,5,75.0,2024-03-21,2024-03-19
C09,2024-04-01,P3,80,1200,50,5000,445,30.5,655,3.1,27.4,0.0,0,80.0,2024-04-21,2024-04-16
