loan_id,member_id,book_id,loan_date,due_date,return_date
L0001,M05,B008,2024-01-05,2024-01-19,2024-01-18
L0002,M11,B014,2024-01-05,2024-01-19,2024-01-19
L0003,M17,B020,2024-01-05,2024-01-19,2024-01-20
L0004,M04,B009,2024-01-06,2024-01-20,2024-01-20
L0005,M10,B015,2024-01-06,2024-01-20,2024-01-21
L0006,M16,B021,2024-01-06,2024-01-20,2024-01-22
L0007,M03,B010,2024-01-07,2024-01-21,2024-01-22
L0008,M09,B016,2024-01-07,2024-01-21,2024-01-23
L0009,M15,B022,2024-01-07,2024-01-21,2024-01-24
L0010,M02,B011,2024-01-08,2024-01-22,2024-01-24
L0011,M08,B017,2024-01-08,2024-01-22,2024-01-25
L0012,M14,B023,2024-01-08,2024-01-22,2024-01-26
L0013,M01,B012,2024-01-09,2024-01-23,2024-01-26
L0014,M07,B018,2024-01-09,2024-01-23,2024-01-27
L0015,M13,B024,2024-01-09,2024-01-23,2024-01-28
L0016,M06,B019,2024-01-10,2024-01-24,2024-01-29
L0017,M12,B001,2024-01-10,2024-01-24,2024-01-28
L0018,M18,B007,2024-01-10,2024-01-24,2024-01-29
L0019,M05,B020,2024-01-11,2024-01-25,2024-01-31
L0020,M11,B002,2024-01-11,2024-01-25,2024-01-30
L0021,M17,B008,2024-01-11,2024-01-25,2024-01-31
L0022,M04,B021,2024-01-12,2024-01-26,2024-01-22
L0023,M10,B003,2024-01-12,2024-01-26,2024-02-01
L0024,M16,B009,2024-01-12,2024-01-26,2024-01-22
L0025,M03,B022,2024-01-13,2024-01-27,2024-01-24
L0026,M09,B004,2024-01-13,2024-01-27,2024-01-23
L0027,M15,B010,2024-01-13,2024-01-27,2024-01-24
L0028,M02,B023,2024-01-14,2024-01-28,2024-01-26
L0029,M08,B005,2024-01-14,2024-01-28,2024-01-25
L0030,M14,B011,2024-01-14,2024-01-28,2024-01-26
L0031,M01,B024,2024-01-15,2024-01-29,2024-01-28
L0032,M07,B006,2024-01-15,2024-01-29,2024-01-27
L0033,M13,B012,2024-01-15,2024-01-29,2024-01-28
L0034,M06,B007,2024-01-16,2024-01-30,2024-01-29
L0035,M12,B013,2024-01-16,2024-01-30,2024-01-30
L0036,M18,B019,2024-01-16,2024-01-30,2024-01-31
L0037,M05,B008,2024-01-17,2024-01-31,2024-01-31
L0038,M11,B014,2024-01-17,2024-01-31,2024-02-01
L0039,M17,B020,2024-01-17,2024-01-31,2024-02-02
L0040,M04,B009,2024-01-18,2024-02-01,2024-02-02
L0041,M10,B015,2024-01-18,2024-02-01,2024-02-03
L0042,M16,B021,2024-01-18,2024-02-01,2024-02-04
L0043,M03,B010,2024-01-19,2024-02-02,2024-02-04
L0044,M09,B016,2024-01-19,2024-02-02,2024-02-05
L0045,M15,B022,2024-01-19,2024-02-02,2024-02-06
L0046,M02,B011,2024-01-20,2024-02-03,2024-02-06
L0047,M08,B017,2024-01-20,2024-02-03,2024-02-07
L0048,M14,B023,2024-01-20,2024-02-03,2024-02-08
L0049,M01,B012,2024-01-21,2024-02-04,2024-02-08
L0050,M07,B018,2024-01-21,2024-02-04,2024-02-09
L0051,M13,B024,2024-01-21,2024-02-04,2024-02-10
L0052,M06,B019,2024-01-22,2024-02-05,2024-02-11
L0053,M12,B001,2024-01-22,2024-02-05,2024-02-10
L0054,M18,B007,2024-01-22,2024-02-05,2024-02-11
L0055,M05,B020,2024-01-23,2024-02-06,2024-02-02
L0056,M11,B002,2024-01-23,2024-02-06,2024-02-12
L0057,M17,B008,2024-01-23,2024-02-06,2024-02-02
L0058,M04,B021,2024-01-24,2024-02-07,2024-02-04
L0059,M10,B003,2024-01-24,2024-02-07,2024-02-03
L0060,M16,B009,2024-01-24,2024-02-07,2024-02-04
L0061,M03,B022,2024-01-25,2024-02-08,2024-02-06
L0062,M09,B004,2024-01-25,2024-02-08,2024-02-05
L0063,M15,B010,2024-01-25,2024-02-08,2024-02-06
L0064,M02,B023,2024-01-26,2024-02-09,2024-02-08
L0065,M08,B005,2024-01-26,2024-02-09,2024-02-07
