event_id,match_id,team_id,player_id,minute,event_type
E0001,M001,TA,TA_P1,9,goal
E0002,M001,TA,TA_P5,35,goal
E0003,M001,TB,TB_P5,20,goal
E0004,M001,TB,TB_P2,13,yellow_card
E0005,M001,TA,TA_P3,22,yellow_card
E0006,M002,TC,TC_P1,10,goal
E0007,M002,TD,TD_P5,18,goal
E0008,M002,TD,TD_P1,58,goal
E0009,M002,TC,TC_P2,14,yellow_card
E0010,M002,TD,TD_P3,23,yellow_card
E0011,M002,TC,TC_P4,32,yellow_card
E0012,M003,TC,TC_P2,15,yellow_card
E0013,M003,TA,TA_P3,24,yellow_card
E0014,M003,TC,TC_P4,33,yellow_card
E0015,M003,TA,TA_P2,42,yellow_card
E0016,M004,TB,TB_P1,8,goal
E0017,M004,TB,TB_P5,34,goal
E0018,M004,TB,TB_P2,16,yellow_card
E0019,M004,TD,TD_P3,25,yellow_card
E0020,M004,TB,TB_P4,34,yellow_card
E0021,M004,TD,TD_P2,43,yellow_card
E0022,M004,TB,TB_P3,52,yellow_card
E0023,M005,TA,TA_P1,9,goal
E0024,M005,TA,TA_P5,35,goal
E0025,M005,TD,TD_P5,18,goal
E0026,M005,TD,TD_P1,58,goal
E0027,M005,TD,TD_P2,17,yellow_card
E0028,M006,TB,TB_P2,12,yellow_card
E0029,M006,TC,TC_P3,21,yellow_card
E0030,M007,TB,TB_P1,11,goal
E0031,M007,TA,TA_P2,13,yellow_card
E0032,M007,TB,TB_P3,22,yellow_card
E0033,M007,TA,TA_P4,31,yellow_card
E0034,M008,TC,TC_P5,18,goal
E0035,M008,TD,TD_P2,14,yellow_card
E0036,M008,TC,TC_P3,23,yellow_card
E0037,M008,TD,TD_P4,32,yellow_card
E0038,M008,TC,TC_P2,41,yellow_card
E0039,M009,TA,TA_P5,19,goal
E0040,M009,TA,TA_P2,15,yellow_card
E0041,M009,TC,TC_P3,24,yellow_card
E0042,M009,TA,TA_P4,33,yellow_card
E0043,M009,TC,TC_P2,42,yellow_card
E0044,M009,TA,TA_P3,51,yellow_card
E0045,M010,TD,TD_P1,10,goal
E0046,M010,TD,TD_P5,36,goal
E0047,M010,TB,TB_P5,20,goal
E0048,M010,TD,TD_P2,16,yellow_card
E0049,M011,TD,TD_P1,11,goal
E0050,M011,TD,TD_P5,37,goal
E0051,M011,TD,TD_P1,66,goal
E0052,M011,TA,TA_P5,18,goal
E0053,M011,TA,TA_P1,58,goal
E0054,M011,TA,TA_P2,17,yellow_card
E0055,M011,TD,TD_P3,26,yellow_card
E0056,M012,TC,TC_P1,8,goal
E0057,M012,TC,TC_P5,34,goal
E0058,M012,TC,TC_P1,63,goal
E0059,M012,TB,TB_P5,19,goal
E0060,M012,TB,TB_P1,59,goal
E0061,M012,TC,TC_P2,12,yellow_card
E0062,M012,TB,TB_P3,21,yellow_card
E0063,M012,TC,TC_P4,30,yellow_card
