date,rain_mm,temp_c
2024-04-01,3,20
2024-04-02,6,22
2024-04-03,9,24
2024-04-04,12,26
2024-04-05,15,28
2024-04-06,1,30
2024-04-07,4,32
2024-04-08,7,34
2024-04-09,10,18
2024-04-10,13,20
2024-04-11,16,22
2024-04-12,2,24
2024-04-13,5,26
2024-04-14,8,28
2024-04-15,11,30
2024-04-16,14,32
2024-04-17,0,34
2024-04-18,3,18
2024-04-19,6,20
2024-04-20,9,22
2024-04-21,12,24
2024-04-22,15,26
2024-04-23,1,28
2024-04-24,4,30
2024-04-25,7,32
2024-04-26,10,34
2024-04-27,13,18
2024-04-28,16,20
2024-04-29,2,22
2024-04-30,5,24
2024-05-01,8,26
2024-05-02,11,28
2024-05-03,14,30
2024-05-04,0,32
2024-05-05,3,34
2024-05-06,6,18
2024-05-07,9,20
2024-05-08,12,22
2024-05-09,15,24
2024-05-10,1,26
2024-05-11,4,28
2024-05-12,7,30
2024-05-13,10,32
2024-05-14,13,34
2024-05-15,16,18
2024-05-16,2,20
2024-05-17,5,22
2024-05-18,8,24
2024-05-19,11,26
2024-05-20,14,28
2024-05-21,0,30
2024-05-22,3,32
2024-05-23,6,34
2024-05-24,9,18
2024-05-25,12,20
2024-05-26,15,22
2024-05-27,1,24
2024-05-28,4,26
2024-05-29,7,28
2024-05-30,10,30
2024-05-31,13,32
2024-06-01,16,34
2024-06-02,2,18
2024-06-03,5,20
2024-06-04,8,22
2024-06-05,11,24
2024-06-06,14,26
2024-06-07,0,28
2024-06-08,3,30
2024-06-09,6,32
2024-06-10,9,34
2024-06-11,12,18
2024-06-12,15,20
2024-06-13,1,22
2024-06-14,4,24
2024-06-15,7,26
2024-06-16,10,28
2024-06-17,13,30
2024-06-18,16,32
2024-06-19,2,34
2024-06-20,5,18
2024-06-21,8,20
2024-06-22,11,22
2024-06-23,14,24
2024-06-24,0,26
2024-06-25,3,28
2024-06-26,6,30
2024-06-27,9,32
2024-06-28,12,34
2024-06-29,15,18
