property_id,sqft,bedrooms,bathrooms,year_built,lot_acres,garage_spaces,neighborhood,renovated,distance_miles,months_listed,sale_price
P001,3974,6,4.0,1973,0.56,2,Hilltop,1,9.8,0.6,711300
P002,1660,3,2.0,1983,0.63,2,Riverside,0,9.0,4.1,338300
P003,2094,3,2.0,1961,0.52,2,Riverside,0,4.2,4.2,351500
P004,1930,5,3.0,2004,0.58,1,Oakwood,0,8.9,1.2,365800
P005,1895,3,2.0,1985,0.62,1,Hilltop,0,8.1,1.7,339900
P006,3892,6,3.5,1973,0.16,2,Oakwood,1,6.4,1.7,644200
P007,2438,4,2.5,2018,0.18,1,Downtown,0,0.6,1.0,423500
P008,2969,5,3.0,2015,0.4,0,Lakeside,0,8.4,1.5,578100
P009,1266,2,1.5,2010,0.82,3,Oakwood,0,8.4,0.6,284300
P010,2038,3,1.0,1966,0.21,2,Lakeside,0,5.1,1.2,328000
P011,1130,2,1.5,1962,0.37,2,Lakeside,0,6.6,3.9,230100
P012,2282,4,2.5,2006,0.44,2,Oakwood,0,8.1,1.2,371100
P013,2935,4,2.5,1982,0.28,2,Lakeside,0,5.3,3.9,503500
P014,3971,6,3.5,2005,0.48,2,Downtown,0,0.5,2.0,657700
P015,3719,6,4.0,2002,0.79,1,Lakeside,0,8.2,4.7,663200
P016,930,2,1.5,2006,0.39,0,Downtown,0,1.8,2.2,207300
P017,2485,4,2.0,2019,0.33,1,Hilltop,0,13.3,0.6,491500
P018,1569,3,2.0,2004,0.27,1,Downtown,0,2.9,2.8,333000
P019,3191,6,4.0,1977,0.36,2,Lakeside,0,6.8,0.6,557500
P020,2315,3,2.0,2017,0.23,0,Hilltop,0,9.3,1.7,448000
P021,3653,6,3.5,1997,0.25,0,Downtown,0,0.5,5.8,610700
P022,3233,6,3.0,1994,0.33,1,Lakeside,0,5.7,0.9,615800
P023,2015,4,2.5,2010,0.12,1,Oakwood,1,6.3,1.5,355800
P024,1755,2,2.0,1974,0.18,2,Oakwood,0,9.0,3.1,296700
P025,3124,5,2.5,2023,0.33,1,Oakwood,0,10.4,4.8,543800
P026,1984,3,1.5,1984,0.27,2,Riverside,1,5.1,2.7,324600
P027,1259,1,1.0,2014,0.22,1,Oakwood,0,9.4,1.1,254800
P028,821,1,1.0,1996,0.49,2,Lakeside,0,5.0,2.7,222100
P029,3100,5,3.0,1987,0.45,2,Oakwood,1,7.5,1.2,499900
P030,1547,3,2.5,1969,0.15,1,Hilltop,1,8.8,3.0,285200
P031,3704,6,3.5,1998,0.73,2,Oakwood,0,4.8,6.7,595900
P032,1274,2,1.0,2016,0.31,1,Lakeside,0,5.9,3.1,204200
P033,1882,3,2.0,1976,0.51,1,Lakeside,0,6.2,4.5,330000
P034,3358,6,3.5,1998,0.36,3,Downtown,0,3.1,0.5,616900
P035,2847,5,2.5,1981,1.92,1,Lakeside,0,7.2,3.0,527000
P036,3547,5,3.0,1985,0.52,0,Oakwood,0,9.2,4.0,569600
P037,1775,3,2.5,2021,0.47,2,Lakeside,0,4.5,0.6,412800
P038,2606,5,3.0,2003,0.55,0,Oakwood,0,8.7,4.6,464100
P039,989,1,1.0,1984,0.15,2,Lakeside,1,8.4,1.1,231100
P040,3805,6,3.5,1976,0.17,1,Oakwood,0,8.6,2.7,518300
P041,3534,6,3.5,1972,0.48,3,Downtown,0,4.2,3.7,596700
P042,3805,6,4.0,1979,0.3,2,Hilltop,0,13.0,2.7,645500
P043,1362,2,1.0,1984,0.52,2,Riverside,0,5.1,0.7,246900
P044,2699,4,2.0,1963,0.13,3,Oakwood,0,7.0,2.3,428100
P045,2067,3,1.5,1969,0.33,1,Oakwood,0,6.9,2.1,363000
P046,3679,6,3.5,1962,0.24,3,Riverside,0,3.2,5.1,560900
P047,2328,5,3.5,2000,0.28,0,Downtown,0,0.7,1.5,467900
P048,1446,2,1.5,2004,0.38,1,Oakwood,0,9.8,1.3,281800
P049,2868,5,3.0,1977,0.31,1,Riverside,0,2.2,3.3,477800
P050,3688,6,3.5,2006,0.33,2,Oakwood,0,6.4,1.6,580900
P051,3014,5,3.0,1995,0.3,1,Lakeside,0,5.8,2.6,485300
P052,2097,3,2.0,2006,0.26,2,Oakwood,1,6.7,2.6,335900
P053,3235,5,3.5,1981,0.54,2,Riverside,0,4.7,4.9,590200
P054,1400,3,1.5,1993,0.1,3,Oakwood,0,7.2,2.3,313900
