property_id,split
P001,train
P002,train
P003,test
P004,train
P005,train
P006,train
P007,train
P008,test
P009,train
P010,test
P011,train
P012,train
P013,train
P014,train
P015,train
P016,train
P017,train
P018,train
P019,test
P020,train
P021,train
P022,train
P023,test
P024,train
P025,test
P026,train
P027,train
P028,train
P029,test
P030,train
P031,train
P032,train
P033,train
P034,test
P035,train
P036,test
P037,train
P038,train
P039,train
P040,train
P041,train
P042,train
P043,train
P044,test
P045,test
P046,test
P047,test
P048,train
P049,train
P050,train
P051,train
P052,train
P053,train
P054,train
P055,train
P056,train
P057,train
P058,train
P059,train
P060,train
P061,train
P062,test
P063,train
P064,train
P065,test
P066,train
P067,train
P068,train
P069,train
P070,train
P071,train
P072,test
P073,train
P074,train
P075,train
P076,train
P077,train
P078,train
P079,test
P080,train
P081,train
P082,train
P083,train
P084,train
P085,train
P086,train
P087,train
P088,test
P089,train
P090,test
P091,train
P092,train
P093,train
P094,train
P095,train
P096,train
P097,train
P098,train
P099,train
P100,test
P101,train
P102,train
P103,train
P104,test
P105,test
P106,train
P107,train
P108,train
P109,train
P110,train
P111,train
P112,train
P113,train
P114,test
P115,train
P116,train
P117,train
P118,test
P119,train
P120,test
P121,test
P122,train
P123,train
P124,test
P125,train
P126,test
P127,test
P128,train
P129,train
P130,test
P131,train
P132,train
P133,train
P134,train
P135,test
P136,test
P137,train
P138,train
P139,train
P140,test
P141,train
P142,train
P143,train
P144,train
P145,test
P146,train
P147,train
P148,train
P149,test
P150,train
P151,train
P152,train
P153,test
P154,train
P155,train
P156,train
P157,train
P158,train
P159,test
P160,train
P161,train
P162,train
P163,train
P164,train
P165,test
P166,train
P167,train
P168,train
P169,train
P170,train
P171,train
P172,test
P173,train
P174,train
P175,test
P176,train
P177,train
P178,train
P179,train
P180,train
P181,train
P182,train
P183,test
P184,train
P185,train
P186,train
P187,train
P188,train
P189,test
P190,test
P191,train
P192,test
P193,train
P194,train
P195,train
P196,test
P197,train
P198,train
P199,test
P200,train
