customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,num_support_tickets,has_online_backup,has_streaming,senior_citizen,partner,churned
C0001,67,91.02,6633.75,month-to-month,None,3,0,1,0,1,0
C0002,18,115.85,1924.5,one-year,DSL,0,1,1,0,1,0
C0003,58,62.98,3614.65,one-year,Fiber,3,1,1,0,0,0
C0004,48,107.29,5049.47,one-year,Fiber,0,1,1,0,0,0
C0005,33,55.6,1781.29,month-to-month,DSL,3,0,1,0,1,1
C0006,47,112.98,4707.64,month-to-month,None,3,0,1,0,1,0
C0007,26,34.88,913.88,month-to-month,DSL,0,1,1,0,1,0
C0008,37,114.0,4149.98,month-to-month,Fiber,2,0,1,0,0,1
C0009,69,103.27,7474.91,month-to-month,Fiber,1,0,1,0,0,1
C0010,50,104.61,5308.04,two-year,None,2,1,0,0,1,0
C0011,56,32.39,1556.75,month-to-month,None,5,0,0,0,1,0
C0012,68,79.65,4655.63,month-to-month,DSL,2,0,1,0,0,0
C0013,3,21.64,68.84,two-year,None,4,0,1,0,0,0
C0014,40,92.12,3914.27,month-to-month,Fiber,1,0,0,0,1,1
C0015,67,20.77,1583.6,month-to-month,None,1,1,0,0,0,0
C0016,48,28.48,1521.53,month-to-month,Fiber,1,1,0,1,0,1
C0017,62,42.55,2612.82,two-year,Fiber,1,1,1,0,1,0
C0018,49,107.51,5466.97,month-to-month,DSL,2,0,0,0,0,1
C0019,8,56.36,445.09,one-year,Fiber,4,0,0,1,0,1
C0020,53,74.0,3596.02,two-year,DSL,2,0,0,0,1,0
C0021,28,76.81,2071.11,one-year,None,0,0,1,1,0,0
C0022,35,42.55,1312.28,two-year,None,1,1,1,0,1,0
C0023,41,77.21,3323.76,month-to-month,DSL,0,0,0,0,1,0
C0024,4,86.1,312.58,one-year,None,1,1,1,0,0,0
C0025,70,49.82,3461.73,one-year,Fiber,2,0,1,1,0,1
C0026,65,61.86,4584.75,month-to-month,Fiber,3,1,1,0,1,0
C0027,35,65.31,1964.69,two-year,None,1,0,1,0,1,0
C0028,59,113.24,5983.11,one-year,Fiber,1,0,1,0,1,0
C0029,11,78.75,813.91,two-year,DSL,2,1,0,0,0,0
C0030,23,114.83,2991.15,one-year,DSL,4,0,1,0,1,1
C0031,19,75.6,1612.58,one-year,None,2,0,1,0,0,1
C0032,16,70.06,1007.29,month-to-month,Fiber,4,0,1,1,1,1
C0033,28,20.35,652.04,month-to-month,None,1,0,1,0,1,1
C0034,31,68.09,2269.57,month-to-month,Fiber,3,0,1,0,0,1
C0035,53,112.75,6047.42,one-year,Fiber,2,1,1,0,1,0
C0036,71,39.84,3194.98,month-to-month,Fiber,4,1,0,0,1,0
C0037,27,25.21,758.39,month-to-month,DSL,2,0,0,0,1,0
C0038,7,60.68,410.91,month-to-month,DSL,3,0,1,1,1,1
C0039,15,57.24,898.87,month-to-month,Fiber,0,0,1,1,1,1
C0040,55,105.72,6071.7,month-to-month,Fiber,6,0,1,0,1,1
C0041,72,22.66,1546.83,two-year,None,2,1,0,1,1,0
C0042,2,112.01,202.47,month-to-month,None,0,0,1,0,1,0
C0043,44,88.09,3837.37,month-to-month,Fiber,1,0,0,1,0,1
C0044,59,110.42,6052.13,month-to-month,DSL,1,0,1,0,0,0
C0045,56,80.75,4325.38,month-to-month,Fiber,3,1,1,0,0,0
C0046,26,101.2,2989.68,month-to-month,None,5,1,0,0,1,1
C0047,51,53.55,2699.21,month-to-month,None,0,0,1,0,0,0
C0048,57,54.96,3306.48,month-to-month,None,3,1,0,0,1,0
C0049,50,58.99,2804.59,two-year,DSL,2,0,0,1,0,0
C0050,13,95.48,1425.88,month-to-month,Fiber,2,1,0,1,1,1
C0051,19,56.93,1133.19,month-to-month,DSL,2,0,1,0,1,0
C0052,2,44.22,80.37,month-to-month,DSL,1,1,1,0,0,0
C0053,52,113.77,5202.89,one-year,None,4,1,1,0,0,0
C0054,45,110.8,5648.91,one-year,Fiber,2,1,0,0,1,0
C0055,49,54.88,3047.94,one-year,DSL,5,0,0,0,1,0
C0056,57,83.46,4930.38,month-to-month,Fiber,1,1,1,0,1,1
C0057,50,47.38,2025.73,month-to-month,DSL,3,1,0,0,1,1
C0058,4,40.61,149.06,two-year,DSL,1,0,1,0,1,0
C0059,68,53.63,3976.45,month-to-month,None,6,0,1,0,0,1
C0060,12,52.71,703.77,one-year,Fiber,1,1,1,0,0,1
C0061,22,108.23,2348.19,one-year,Fiber,2,0,1,0,0,1
C0062,4,102.23,392.42,month-to-month,DSL,0,1,1,0,1,0
C0063,12,90.96,1017.59,month-to-month,Fiber,0,1,1,0,1,1
C0064,4,115.93,410.43,month-to-month,Fiber,3,0,1,0,1,1
C0065,7,62.25,385.52,two-year,DSL,1,1,1,1,0,0
C0066,10,44.5,505.42,month-to-month,DSL,1,1,1,0,1,1
C0067,15,31.74,520.18,two-year,DSL,0,0,1,0,1,0
C0068,71,50.11,3200.01,month-to-month,Fiber,3,1,0,0,0,0
C0069,13,34.53,409.44,month-to-month,DSL,3,0,0,0,0,1
C0070,55,29.22,1682.1,month-to-month,DSL,4,1,1,0,1,0
C0071,28,80.29,2426.62,month-to-month,None,2,0,1,1,0,0
C0072,39,56.42,2405.22,one-year,DSL,2,0,0,1,1,0
C0073,18,76.46,1237.28,month-to-month,Fiber,1,1,1,0,1,0
C0074,62,39.13,2778.42,one-year,Fiber,3,1,1,0,1,0
C0075,66,87.69,5314.93,month-to-month,Fiber,2,0,0,0,1,1
C0076,48,41.55,2047.9,month-to-month,Fiber,1,1,1,0,0,0
C0077,17,47.8,833.96,month-to-month,DSL,2,1,1,0,1,0
C0078,6,94.18,644.31,month-to-month,Fiber,2,0,0,0,1,1
C0079,47,75.97,3739.48,month-to-month,None,2,1,1,0,0,1
C0080,16,53.48,877.48,month-to-month,Fiber,3,0,0,0,1,0
C0081,60,74.3,4483.11,month-to-month,DSL,3,0,0,0,1,0
C0082,41,89.4,3956.42,month-to-month,None,0,0,1,1,0,0
C0083,26,111.21,2549.74,one-year,Fiber,3,1,1,1,1,0
C0084,46,78.07,3054.79,one-year,Fiber,6,1,0,0,1,0
C0085,50,43.27,2457.19,month-to-month,Fiber,2,1,1,0,1,0
C0086,1,94.67,94.63,one-year,DSL,3,1,1,0,1,1
C0087,36,97.78,3338.8,one-year,Fiber,5,1,1,1,0,0
C0088,30,40.04,1153.65,month-to-month,None,1,0,1,0,0,0
C0089,2,102.06,222.73,one-year,Fiber,2,0,1,1,1,0
C0090,69,66.49,4425.91,month-to-month,None,1,1,1,0,0,0
C0091,31,97.98,3283.56,month-to-month,None,0,0,1,0,0,0
C0092,8,43.75,343.75,two-year,None,2,0,0,1,0,0
C0093,61,53.26,3584.22,month-to-month,DSL,2,1,0,0,1,0
C0094,66,115.37,6646.33,month-to-month,Fiber,3,0,0,0,1,1
C0095,68,85.78,5800.02,month-to-month,Fiber,1,0,1,0,1,1
C0096,45,97.29,4334.51,month-to-month,DSL,2,0,1,1,1,1
C0097,52,88.84,4293.06,one-year,Fiber,2,1,1,0,0,0
C0098,8,40.43,366.48,month-to-month,DSL,0,0,1,0,0,0
C0099,71,67.07,5340.59,month-to-month,None,0,1,0,0,1,0
C0100,14,100.9,1388.7,month-to-month,DSL,1,1,1,0,0,0
C0101,29,87.5,2230.84,two-year,DSL,4,1,1,0,1,0
C0102,64,20.6,1202.43,month-to-month,DSL,2,0,1,1,0,1
C0103,37,28.74,990.48,month-to-month,None,1,1,1,0,0,0
C0104,41,54.68,2231.27,month-to-month,None,2,0,0,0,1,0
C0105,64,114.44,6969.03,one-year,None,3,0,1,0,1,0
C0106,59,69.12,4413.46,month-to-month,DSL,2,1,0,0,1,0
C0107,9,47.02,420.14,one-year,Fiber,1,0,0,0,1,1
C0108,7,56.04,435.87,month-to-month,Fiber,0,0,1,1,0,1
C0109,66,41.07,3113.78,one-year,None,2,0,0,0,0,0
C0110,71,62.12,4039.82,month-to-month,DSL,1,0,1,0,0,0
C0111,41,41.8,1771.21,month-to-month,DSL,2,1,0,1,1,0
C0112,26,104.58,3002.55,month-to-month,Fiber,0,1,1,0,1,0
C0113,8,65.63,595.17,month-to-month,DSL,6,1,0,1,1,1
C0114,14,47.98,629.42,month-to-month,Fiber,1,0,1,1,0,1
C0115,45,113.29,5445.29,month-to-month,Fiber,4,1,0,0,0,1
C0116,2,51.44,87.91,one-year,DSL,5,0,1,0,1,0
C0117,42,110.97,5190.87,month-to-month,DSL,2,1,1,0,1,1
C0118,57,24.34,1205.89,month-to-month,Fiber,4,0,1,0,1,1
