customer_id,split
C0001,train
C0002,train
C0003,test
C0004,train
C0005,train
C0006,train
C0007,train
C0008,test
C0009,train
C0010,train
C0011,train
C0012,train
C0013,train
C0014,train
C0015,train
C0016,test
C0017,train
C0018,train
C0019,train
C0020,train
C0021,train
C0022,train
C0023,train
C0024,train
C0025,train
C0026,train
C0027,train
C0028,train
C0029,train
C0030,train
C0031,train
C0032,test
C0033,test
C0034,test
C0035,train
C0036,test
C0037,train
C0038,train
C0039,train
C0040,test
C0041,train
C0042,train
C0043,train
C0044,train
C0045,train
C0046,test
C0047,train
C0048,train
C0049,train
C0050,test
C0051,train
C0052,train
C0053,train
C0054,train
C0055,test
C0056,train
C0057,test
C0058,train
C0059,train
C0060,train
C0061,train
C0062,test
C0063,train
C0064,train
C0065,train
C0066,test
C0067,train
C0068,train
C0069,train
C0070,train
C0071,train
C0072,test
C0073,test
C0074,train
C0075,train
C0076,train
C0077,train
C0078,test
C0079,train
C0080,train
C0081,train
C0082,train
C0083,train
C0084,test
C0085,test
C0086,train
C0087,train
C0088,train
C0089,test
C0090,train
C0091,train
C0092,train
C0093,train
C0094,train
C0095,train
C0096,train
C0097,train
C0098,train
C0099,train
C0100,train
C0101,train
C0102,train
C0103,train
C0104,train
C0105,train
C0106,train
C0107,train
C0108,train
C0109,train
C0110,train
C0111,train
C0112,train
C0113,train
C0114,train
C0115,train
C0116,train
C0117,train
C0118,train
C0119,train
C0120,train
C0121,test
C0122,test
C0123,train
C0124,test
C0125,train
C0126,test
C0127,test
C0128,train
C0129,train
C0130,test
C0131,train
C0132,train
C0133,train
C0134,train
C0135,train
C0136,test
C0137,train
C0138,train
C0139,train
C0140,train
C0141,train
C0142,train
C0143,train
C0144,train
C0145,test
C0146,train
C0147,test
C0148,train
C0149,test
C0150,train
C0151,train
C0152,train
C0153,train
C0154,train
C0155,train
C0156,train
C0157,train
C0158,train
C0159,train
C0160,train
C0161,train
C0162,train
C0163,train
C0164,test
C0165,test
C0166,train
C0167,test
C0168,train
C0169,train
C0170,train
C0171,train
C0172,train
C0173,train
C0174,train
C0175,test
C0176,test
C0177,train
C0178,train
C0179,test
C0180,train
C0181,train
C0182,train
C0183,train
C0184,train
C0185,train
C0186,test
C0187,test
C0188,test
C0189,train
C0190,test
C0191,train
C0192,train
C0193,train
C0194,train
C0195,train
C0196,train
C0197,test
C0198,train
C0199,train
C0200,train
C0201,train
C0202,train
C0203,train
C0204,train
C0205,train
C0206,train
C0207,train
C0208,train
C0209,test
C0210,train
C0211,test
C0212,test
C0213,train
C0214,train
C0215,train
C0216,train
C0217,train
C0218,test
C0219,train
C0220,train
C0221,train
C0222,test
C0223,train
C0224,train
C0225,test
C0226,train
C0227,train
C0228,train
C0229,train
C0230,train
C0231,train
C0232,train
C0233,train
C0234,train
C0235,train
C0236,train
C0237,test
C0238,train
C0239,train
C0240,train
C0241,train
C0242,train
C0243,train
C0244,train
C0245,train
C0246,train
C0247,train
C0248,train
C0249,test
C0250,test
C0251,test
C0252,test
C0253,train
C0254,test
C0255,train
C0256,test
C0257,test
C0258,train
C0259,test
C0260,train
C0261,train
C0262,test
C0263,train
C0264,train
C0265,train
C0266,train
C0267,train
C0268,test
C0269,train
C0270,train
C0271,train
C0272,test
C0273,train
C0274,test
C0275,test
C0276,train
C0277,train
C0278,train
C0279,train
C0280,train
C0281,train
C0282,train
C0283,test
C0284,train
C0285,train
C0286,train
C0287,train
C0288,train
C0289,train
C0290,train
C0291,test
C0292,train
C0293,test
C0294,train
C0295,train
C0296,train
C0297,train
C0298,test
C0299,train
C0300,test
